车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2026-02-20,09:00,2026-02-20,09:00,0.0
D3816,弥勒,2026-02-20,09:35,2026-02-20,09:38,0.0
D3816,普者黑,2026-02-20,10:11,2026-02-20,10:15,2.0
D3816,珠琳,2026-02-20,10:32,2026-02-20,10:34,1.0
D3816,广南县,2026-02-20,10:51,2026-02-20,10:53,1.0
D3816,百色,2026-02-20,11:58,2026-02-20,12:02,0.0
D3816,田东北,2026-02-20,12:27,2026-02-20,12:29,-3.0
D3816,平果,2026-02-20,12:49,2026-02-20,12:52,0.0
D3813,南宁,2026-02-20,13:31,2026-02-20,13:35,0.0
D3813,南宁东,2026-02-20,13:46,2026-02-20,13:51,0.0
D3813,宾阳,2026-02-20,14:16,2026-02-20,14:18,0.0
D3813,平南南,2026-02-20,15:01,2026-02-20,15:03,0.0
D3813,藤县,2026-02-20,15:22,2026-02-20,15:24,0.0
D3813,梧州南,2026-02-20,15:36,2026-02-20,15:38,0.0
D3813,南江口,2026-02-20,16:01,2026-02-20,16:07,-2.0
D3813,肇庆东,2026-02-20,16:37,2026-02-20,16:40,-2.0
D3813,佛山西,2026-02-20,17:01,2026-02-20,17:04,0.0
D3813,广州南,2026-02-20,17:25,,,0.0
,,,,,,
,,,,,,
,,,,,,
D1,北京西,2026-02-20,17:59,2026-02-20,17:59,0.0
D1,石家庄,2026-02-20,20:24,2026-02-20,20:30,0.0
D1,郑州,2026-02-20,23:59,2026-02-21,00:05,-9.0
D1,武昌,2026-02-21,04:44,2026-02-21,04:50,-18.0
D1,岳阳,2026-02-21,06:47,2026-02-21,06:51,-9.0
D1,长沙,2026-02-21,08:16,,,-3.0
,,,,,,
