车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2026-07-09,09:00,2026-07-09,09:00,-1.0
D3816,弥勒,2026-07-09,09:35,2026-07-09,09:38,-2.0
D3816,普者黑,2026-07-09,10:11,2026-07-09,10:15,-1.0
D3816,珠琳,2026-07-09,10:32,2026-07-09,10:34,-1.0
D3816,广南县,2026-07-09,10:51,2026-07-09,10:53,-1.0
D3816,百色,2026-07-09,11:58,2026-07-09,12:02,0.0
D3816,田东北,2026-07-09,12:27,2026-07-09,12:29,-1.0
D3816,平果,2026-07-09,12:49,2026-07-09,12:52,0.0
D3813,南宁,2026-07-09,13:31,2026-07-09,13:35,0.0
D3813,南宁东,2026-07-09,13:46,2026-07-09,13:51,0.0
D3813,宾阳,2026-07-09,14:16,2026-07-09,14:18,0.0
D3813,平南南,2026-07-09,15:01,2026-07-09,15:03,5.0
D3813,藤县,2026-07-09,15:22,2026-07-09,15:24,8.0
D3813,梧州南,2026-07-09,15:36,2026-07-09,15:38,7.0
D3813,南江口,2026-07-09,16:01,2026-07-09,16:07,0.0
D3813,肇庆东,2026-07-09,16:37,2026-07-09,16:40,9.0
D3813,佛山西,2026-07-09,17:01,2026-07-09,17:04,6.0
D3813,广州南,2026-07-09,17:25,,,3.0
,,,,,,
G3726,广州,2026-07-09,08:42,2026-07-09,08:42,0.0
G3726,佛山西,2026-07-09,09:04,2026-07-09,09:16,0.0
G3726,肇庆东,2026-07-09,09:35,2026-07-09,09:37,0.0
G3726,贺州,2026-07-09,10:24,2026-07-09,10:26,0.0
G3726,阳朔,2026-07-09,10:58,2026-07-09,11:04,0.0
G3726,桂林西,2026-07-09,11:24,2026-07-09,11:28,0.0
G3726,都匀东,2026-07-09,12:43,2026-07-09,12:48,
G3726,贵阳东,2026-07-09,13:23,2026-07-09,13:31,0.0
G3726,遵义,2026-07-09,14:18,2026-07-09,14:20,0.0
G3726,娄山关南,2026-07-09,14:34,2026-07-09,14:36,0.0
G3726,重庆西,2026-07-09,15:43,2026-07-09,15:52,4.0
G3726,重庆北,2026-07-09,16:17,2026-07-09,16:22,0.0
G3726,梁平南,2026-07-09,17:14,2026-07-09,17:19,0.0
G3726,万州北,2026-07-09,17:40,2026-07-09,17:44,
G3726,云阳,2026-07-09,17:57,2026-07-09,17:59,0.0
G3726,巫山,2026-07-09,18:33,,,0.0
,,,,,,
G1,北京南,2026-07-09,06:30,2026-07-09,06:30,-2.0
G1,沧州西,2026-07-09,07:18,2026-07-09,07:20,1.0
G1,德州东,2026-07-09,07:45,2026-07-09,07:47,0.0
G1,曲阜东,2026-07-09,08:34,2026-07-09,08:36,
G1,南京南,2026-07-09,10:13,2026-07-09,10:15,4.0
G1,苏州北,2026-07-09,10:59,2026-07-09,11:01,3.0
G1,上海虹桥,2026-07-09,11:24,,,3.0
,,,,,,
D1,北京西,2026-07-09,17:58,2026-07-09,17:58,0.0
D1,石家庄,2026-07-09,20:24,2026-07-09,20:30,4.0
D1,郑州,2026-07-09,23:59,2026-07-10,00:05,-6.0
D1,武昌,2026-07-10,04:44,2026-07-10,04:50,-18.0
D1,岳阳,2026-07-10,06:47,2026-07-10,06:51,-7.0
D1,长沙,2026-07-10,08:16,,,-9.0
,,,,,,
