车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2026-01-06,09:00,2026-01-06,09:00,-1.0
D3816,弥勒,2026-01-06,09:35,2026-01-06,09:38,-3.0
D3816,普者黑,2026-01-06,10:11,2026-01-06,10:15,-2.0
D3816,珠琳,2026-01-06,10:32,2026-01-06,10:34,-1.0
D3816,广南县,2026-01-06,10:51,2026-01-06,10:53,-2.0
D3816,百色,2026-01-06,11:58,2026-01-06,12:02,-4.0
D3816,田东北,2026-01-06,12:27,2026-01-06,12:29,0.0
D3816,平果,2026-01-06,12:49,2026-01-06,12:52,0.0
D3813,南宁,2026-01-06,13:31,2026-01-06,13:35,0.0
D3813,南宁东,2026-01-06,13:46,2026-01-06,13:51,0.0
D3813,宾阳,2026-01-06,14:16,2026-01-06,14:18,0.0
D3813,平南南,2026-01-06,15:01,2026-01-06,15:03,-1.0
D3813,藤县,2026-01-06,15:22,2026-01-06,15:24,1.0
D3813,梧州南,2026-01-06,15:36,2026-01-06,15:38,1.0
D3813,南江口,2026-01-06,16:01,2026-01-06,16:07,0.0
D3813,肇庆东,2026-01-06,16:37,2026-01-06,16:39,1.0
D3813,佛山西,2026-01-06,16:59,2026-01-06,17:02,0.0
D3813,广州南,2026-01-06,17:23,,,2.0
,,,,,,
G3726,广州南,2026-01-06,09:02,2026-01-06,09:02,0.0
G3726,肇庆东,2026-01-06,09:36,2026-01-06,09:38,2.0
G3726,贺州,2026-01-06,10:24,2026-01-06,10:26,4.0
G3726,阳朔,2026-01-06,10:58,2026-01-06,11:04,5.0
G3726,桂林西,2026-01-06,11:24,2026-01-06,11:28,2.0
G3726,都匀东,2026-01-06,12:43,2026-01-06,12:48,
G3726,贵阳东,2026-01-06,13:24,2026-01-06,13:28,0.0
G3726,遵义,2026-01-06,14:15,2026-01-06,14:17,-1.0
G3726,桐梓东,2026-01-06,14:39,2026-01-06,14:46,0.0
G3726,重庆西,2026-01-06,15:45,2026-01-06,15:54,0.0
G3726,重庆北,2026-01-06,16:18,2026-01-06,16:22,-3.0
G3726,梁平南,2026-01-06,17:14,2026-01-06,17:19,0.0
G3726,万州北,2026-01-06,17:40,2026-01-06,17:47,
G3726,奉节,2026-01-06,18:14,2026-01-06,18:16,1.0
G3726,巫山,2026-01-06,18:36,,,0.0
,,,,,,
G1,北京南,2026-01-06,07:00,2026-01-06,07:00,0.0
G1,天津南,2026-01-06,07:31,2026-01-06,07:33,-1.0
G1,南京南,2026-01-06,10:24,2026-01-06,10:26,0.0
G1,上海,2026-01-06,11:29,,,0.0
,,,,,,
D1,北京西,2026-01-06,17:59,2026-01-06,17:59,0.0
D1,石家庄,2026-01-06,20:24,2026-01-06,20:30,-2.0
D1,郑州,2026-01-06,23:59,2026-01-07,00:05,-10.0
D1,武昌,2026-01-07,04:44,2026-01-07,04:50,-13.0
D1,岳阳,2026-01-07,06:47,2026-01-07,06:51,1.0
D1,长沙,2026-01-07,08:16,,,-7.0
,,,,,,
