车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2026-01-26,09:00,2026-01-26,09:00,-1.0
D3816,弥勒,2026-01-26,09:35,2026-01-26,09:38,-1.0
D3816,普者黑,2026-01-26,10:11,2026-01-26,10:15,-2.0
D3816,珠琳,2026-01-26,10:32,2026-01-26,10:34,-1.0
D3816,广南县,2026-01-26,10:51,2026-01-26,10:53,0.0
D3816,百色,2026-01-26,11:58,2026-01-26,12:02,-4.0
D3816,田东北,2026-01-26,12:27,2026-01-26,12:29,-1.0
D3816,平果,2026-01-26,12:49,2026-01-26,12:52,0.0
D3813,南宁,2026-01-26,13:31,2026-01-26,13:35,0.0
D3813,南宁东,2026-01-26,13:46,2026-01-26,13:51,0.0
D3813,宾阳,2026-01-26,14:16,2026-01-26,14:18,0.0
D3813,平南南,2026-01-26,15:01,2026-01-26,15:03,-1.0
D3813,藤县,2026-01-26,15:22,2026-01-26,15:24,-1.0
D3813,梧州南,2026-01-26,15:36,2026-01-26,15:38,-2.0
D3813,南江口,2026-01-26,16:01,2026-01-26,16:07,-2.0
D3813,肇庆东,2026-01-26,16:37,2026-01-26,16:40,-2.0
D3813,佛山西,2026-01-26,17:01,2026-01-26,17:04,-3.0
D3813,广州南,2026-01-26,17:25,,,-4.0
,,,,,,
,,,,,,
,,,,,,
D1,北京西,2026-01-26,17:59,2026-01-26,17:59,0.0
D1,石家庄,2026-01-26,20:24,2026-01-26,20:30,-2.0
D1,郑州,2026-01-26,23:59,2026-01-27,00:05,-8.0
D1,武昌,2026-01-27,04:44,2026-01-27,04:50,-14.0
D1,岳阳,2026-01-27,06:47,2026-01-27,06:51,-5.0
D1,长沙,2026-01-27,08:16,,,-8.0
,,,,,,
