车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2026-01-07,09:00,2026-01-07,09:00,0.0
D3816,弥勒,2026-01-07,09:35,2026-01-07,09:38,-1.0
D3816,普者黑,2026-01-07,10:11,2026-01-07,10:15,-1.0
D3816,珠琳,2026-01-07,10:32,2026-01-07,10:34,-1.0
D3816,广南县,2026-01-07,10:51,2026-01-07,10:53,0.0
D3816,百色,2026-01-07,11:58,2026-01-07,12:02,-3.0
D3816,田东北,2026-01-07,12:27,2026-01-07,12:29,0.0
D3816,平果,2026-01-07,12:49,2026-01-07,12:52,0.0
D3813,南宁,2026-01-07,13:31,2026-01-07,13:35,0.0
D3813,南宁东,2026-01-07,13:46,2026-01-07,13:51,0.0
D3813,宾阳,2026-01-07,14:16,2026-01-07,14:18,0.0
D3813,平南南,2026-01-07,15:01,2026-01-07,15:03,0.0
D3813,藤县,2026-01-07,15:22,2026-01-07,15:24,1.0
D3813,梧州南,2026-01-07,15:36,2026-01-07,15:38,0.0
D3813,南江口,2026-01-07,16:01,2026-01-07,16:07,0.0
D3813,肇庆东,2026-01-07,16:37,2026-01-07,16:39,0.0
D3813,佛山西,2026-01-07,16:59,2026-01-07,17:02,-1.0
D3813,广州南,2026-01-07,17:23,,,0.0
,,,,,,
G3726,广州南,2026-01-07,09:02,2026-01-07,09:02,0.0
G3726,肇庆东,2026-01-07,09:36,2026-01-07,09:38,5.0
G3726,贺州,2026-01-07,10:24,2026-01-07,10:26,7.0
G3726,阳朔,2026-01-07,10:58,2026-01-07,11:04,8.0
G3726,桂林西,2026-01-07,11:24,2026-01-07,11:28,7.0
G3726,都匀东,2026-01-07,12:43,2026-01-07,12:48,
G3726,贵阳东,2026-01-07,13:24,2026-01-07,13:28,0.0
G3726,遵义,2026-01-07,14:15,2026-01-07,14:17,0.0
G3726,桐梓东,2026-01-07,14:39,2026-01-07,14:46,0.0
G3726,重庆西,2026-01-07,15:45,2026-01-07,15:54,0.0
G3726,重庆北,2026-01-07,16:18,2026-01-07,16:22,-4.0
G3726,梁平南,2026-01-07,17:14,2026-01-07,17:19,1.0
G3726,万州北,2026-01-07,17:40,2026-01-07,17:47,
G3726,奉节,2026-01-07,18:14,2026-01-07,18:16,0.0
G3726,巫山,2026-01-07,18:36,,,0.0
,,,,,,
G1,北京南,2026-01-07,07:00,2026-01-07,07:00,0.0
G1,天津南,2026-01-07,07:31,2026-01-07,07:33,0.0
G1,南京南,2026-01-07,10:24,2026-01-07,10:26,0.0
G1,上海,2026-01-07,11:29,,,-1.0
,,,,,,
D1,北京西,2026-01-07,17:59,2026-01-07,17:59,0.0
D1,石家庄,2026-01-07,20:24,2026-01-07,20:30,-3.0
D1,郑州,2026-01-07,23:59,2026-01-08,00:05,-12.0
D1,武昌,2026-01-08,04:44,2026-01-08,04:50,-8.0
D1,岳阳,2026-01-08,06:47,2026-01-08,06:51,-1.0
D1,长沙,2026-01-08,08:16,,,5.0
,,,,,,
