车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2026-01-23,09:00,2026-01-23,09:00,0.0
D3816,弥勒,2026-01-23,09:35,2026-01-23,09:38,-2.0
D3816,普者黑,2026-01-23,10:11,2026-01-23,10:15,-1.0
D3816,珠琳,2026-01-23,10:32,2026-01-23,10:34,-1.0
D3816,广南县,2026-01-23,10:51,2026-01-23,10:53,-1.0
D3816,百色,2026-01-23,11:58,2026-01-23,12:02,-3.0
D3816,田东北,2026-01-23,12:27,2026-01-23,12:29,0.0
D3816,平果,2026-01-23,12:49,2026-01-23,12:52,0.0
D3813,南宁,2026-01-23,13:31,2026-01-23,13:35,0.0
D3813,南宁东,2026-01-23,13:46,2026-01-23,13:51,0.0
D3813,宾阳,2026-01-23,14:16,2026-01-23,14:18,0.0
D3813,平南南,2026-01-23,15:01,2026-01-23,15:03,0.0
D3813,藤县,2026-01-23,15:22,2026-01-23,15:24,2.0
D3813,梧州南,2026-01-23,15:36,2026-01-23,15:38,1.0
D3813,南江口,2026-01-23,16:01,2026-01-23,16:07,0.0
D3813,肇庆东,2026-01-23,16:37,2026-01-23,16:39,0.0
D3813,佛山西,2026-01-23,16:59,2026-01-23,17:02,0.0
D3813,广州南,2026-01-23,17:23,,,0.0
,,,,,,
,,,,,,
G1,北京南,2026-01-23,07:00,2026-01-23,07:00,0.0
G1,天津南,2026-01-23,07:31,2026-01-23,07:33,0.0
G1,南京南,2026-01-23,10:24,2026-01-23,10:26,0.0
G1,上海,2026-01-23,11:29,,,0.0
,,,,,,
D1,北京西,2026-01-23,17:59,2026-01-23,17:59,0.0
D1,石家庄,2026-01-23,20:24,2026-01-23,20:30,0.0
D1,郑州,2026-01-23,23:59,2026-01-24,00:05,-5.0
D1,武昌,2026-01-24,04:44,2026-01-24,04:50,-8.0
D1,岳阳,2026-01-24,06:47,2026-01-24,06:51,0.0
D1,长沙,2026-01-24,08:16,,,-8.0
,,,,,,
