车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
G339,北京西,2026-01-15,12:26,2026-01-15,12:26,1
G339,石家庄,2026-01-15,13:37,2026-01-15,13:42,0
G339,鹤壁东,2026-01-15,14:43,2026-01-15,15:00,2
G339,新乡东,2026-01-15,15:16,2026-01-15,15:18,1
G339,郑州东,2026-01-15,15:38,2026-01-15,15:42,0
G339,许昌东,2026-01-15,16:04,2026-01-15,16:10,1
G339,漯河西,2026-01-15,16:26,2026-01-15,16:28,0
G339,驻马店西,2026-01-15,16:46,2026-01-15,16:48,0
G339,信阳东,2026-01-15,17:13,2026-01-15,17:16,0
G339,武汉,2026-01-15,18:00,2026-01-15,18:20,-3
G339,咸宁北,2026-01-15,18:44,2026-01-15,18:46,-3
G339,岳阳东,2026-01-15,19:17,2026-01-15,19:19,0
G339,长沙南,2026-01-15,19:54,2026-01-15,19:57,0
G339,衡阳东,2026-01-15,20:35,2026-01-15,20:37,0
G339,耒阳西,2026-01-15,20:54,2026-01-15,21:07,0
G339,郴州西,2026-01-15,21:28,2026-01-15,21:30,0
G339,广州南,2026-01-15,22:52,,,-7
