车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
G339,北京西,2026-01-18,12:26,2026-01-18,12:26,0
G339,石家庄,2026-01-18,13:37,2026-01-18,13:42,0
G339,鹤壁东,2026-01-18,14:43,2026-01-18,15:00,0
G339,新乡东,2026-01-18,15:16,2026-01-18,15:18,1
G339,郑州东,2026-01-18,15:38,2026-01-18,15:42,0
G339,许昌东,2026-01-18,16:04,2026-01-18,16:10,0
G339,漯河西,2026-01-18,16:26,2026-01-18,16:28,-3
G339,驻马店西,2026-01-18,16:46,2026-01-18,16:48,3
G339,信阳东,2026-01-18,17:13,2026-01-18,17:16,4
G339,武汉,2026-01-18,18:00,2026-01-18,18:20,0
G339,咸宁北,2026-01-18,18:44,2026-01-18,18:46,1
G339,岳阳东,2026-01-18,19:17,2026-01-18,19:19,1
G339,长沙南,2026-01-18,19:54,2026-01-18,19:57,1
G339,衡阳东,2026-01-18,20:35,2026-01-18,20:37,1
G339,耒阳西,2026-01-18,20:54,2026-01-18,21:07,0
G339,郴州西,2026-01-18,21:28,2026-01-18,21:30,9
G339,广州南,2026-01-18,22:52,,,0
