车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
G339,北京西,2025-12-24,12:26,2025-12-24,12:26,0
G339,石家庄,2025-12-24,13:37,2025-12-24,13:42,0
G339,鹤壁东,2025-12-24,14:43,2025-12-24,15:00,-1
G339,新乡东,2025-12-24,15:16,2025-12-24,15:18,0
G339,郑州东,2025-12-24,15:38,2025-12-24,15:42,-2
G339,许昌东,2025-12-24,16:04,2025-12-24,16:10,0
G339,漯河西,2025-12-24,16:26,2025-12-24,16:28,0
G339,驻马店西,2025-12-24,16:46,2025-12-24,16:48,0
G339,信阳东,2025-12-24,17:13,2025-12-24,17:16,0
G339,武汉,2025-12-24,18:00,2025-12-24,18:20,-3
G339,岳阳东,2025-12-24,19:17,2025-12-24,19:19,0
G339,长沙南,2025-12-24,19:54,2025-12-24,19:57,-2
G339,衡阳东,2025-12-24,20:35,2025-12-24,20:37,0
G339,耒阳西,2025-12-24,20:54,2025-12-24,21:07,0
G339,郴州西,2025-12-24,21:28,2025-12-24,21:30,0
G339,广州南,2025-12-24,22:52,,,-8
