车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
G339,北京西,2026-01-13,12:26,2026-01-13,12:26,0
G339,石家庄,2026-01-13,13:37,2026-01-13,13:42,0
G339,鹤壁东,2026-01-13,14:43,2026-01-13,15:00,0
G339,新乡东,2026-01-13,15:16,2026-01-13,15:18,0
G339,郑州东,2026-01-13,15:38,2026-01-13,15:42,0
G339,许昌东,2026-01-13,16:04,2026-01-13,16:10,0
G339,漯河西,2026-01-13,16:26,2026-01-13,16:28,0
G339,驻马店西,2026-01-13,16:46,2026-01-13,16:48,0
G339,信阳东,2026-01-13,17:13,2026-01-13,17:16,0
G339,武汉,2026-01-13,18:00,2026-01-13,18:20,-3
G339,咸宁北,2026-01-13,18:44,2026-01-13,18:46,-2
G339,岳阳东,2026-01-13,19:17,2026-01-13,19:19,0
G339,长沙南,2026-01-13,19:54,2026-01-13,19:57,-4
G339,衡阳东,2026-01-13,20:35,2026-01-13,20:37,0
G339,耒阳西,2026-01-13,20:54,2026-01-13,21:07,-1
G339,郴州西,2026-01-13,21:28,2026-01-13,21:30,-1
G339,广州南,2026-01-13,22:52,,,-9
