车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
G339,北京西,2025-09-13,12:26,2025-09-13,12:26,0
G339,石家庄,2025-09-13,13:37,2025-09-13,13:42,0
G339,鹤壁东,2025-09-13,14:43,2025-09-13,15:00,0
G339,新乡东,2025-09-13,15:16,2025-09-13,15:18,0
G339,郑州东,2025-09-13,15:38,2025-09-13,15:42,0
G339,许昌东,2025-09-13,16:04,2025-09-13,16:10,0
G339,漯河西,2025-09-13,16:26,2025-09-13,16:28,0
G339,驻马店西,2025-09-13,16:46,2025-09-13,16:48,0
G339,信阳东,2025-09-13,17:13,2025-09-13,17:16,0
G339,武汉,2025-09-13,18:00,2025-09-13,18:20,3
G339,咸宁北,2025-09-13,18:44,2025-09-13,18:46,0
G339,岳阳东,2025-09-13,19:17,2025-09-13,19:19,0
G339,长沙南,2025-09-13,19:54,2025-09-13,19:57,0
G339,衡阳东,2025-09-13,20:35,2025-09-13,20:37,3
G339,耒阳西,2025-09-13,20:54,2025-09-13,21:07,4
G339,郴州西,2025-09-13,21:28,2025-09-13,21:30,3
G339,广州南,2025-09-13,22:52,,,0
