车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
G339,北京西,2026-01-14,12:26,2026-01-14,12:26,0
G339,石家庄,2026-01-14,13:37,2026-01-14,13:42,0
G339,鹤壁东,2026-01-14,14:43,2026-01-14,15:00,6
G339,新乡东,2026-01-14,15:16,2026-01-14,15:18,2
G339,郑州东,2026-01-14,15:38,2026-01-14,15:42,1
G339,许昌东,2026-01-14,16:04,2026-01-14,16:10,3
G339,漯河西,2026-01-14,16:26,2026-01-14,16:28,3
G339,驻马店西,2026-01-14,16:46,2026-01-14,16:48,3
G339,信阳东,2026-01-14,17:13,2026-01-14,17:16,4
G339,武汉,2026-01-14,18:00,2026-01-14,18:20,6
G339,咸宁北,2026-01-14,18:44,2026-01-14,18:46,3
G339,岳阳东,2026-01-14,19:17,2026-01-14,19:19,3
G339,长沙南,2026-01-14,19:54,2026-01-14,19:57,2
G339,衡阳东,2026-01-14,20:35,2026-01-14,20:37,4
G339,耒阳西,2026-01-14,20:54,2026-01-14,21:07,3
G339,郴州西,2026-01-14,21:28,2026-01-14,21:30,1
G339,广州南,2026-01-14,22:52,,,-2
